# Created at 2021-03-26 16:46 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
600,155,SKCO,-2357217.543,-3789395.0932,4541605.7245,45.694242853,-121.883942909,43.1025,0,SEPCHOKE_B3E6   SPKE,SKCO,SEPTENTRIO,SEPT POLARX5,5.2.0,3013476
283,156,BLYN,-2323686.8952,-3588092.595,4718526.7079,48.016053279,-122.927522746,613.7019,0,TRM115000.00    NONE,BLYN,TRIMBLE,TRIMBLE NETR9,5.37,21/SEP/2018,
423,158,BBAY,-2273775.69515183,-3532344.04176621,4783181.78199722,48.899073831,-122.769450719,-7.942,0,TRM115000.00    NONE,BBAY,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
273,159,PNNL,-2327964.6152,-3578581.5087,4722758.4882,48.079275878,-123.045097194,-15.5115,0,TRM57971.00     NONE,PNNL,TRIMBLE,TRIMBLE NETR9,,
8,16,ELSR,-2336133.8434,-3630455.0492,4679402.6432,47.497600156,-122.760566928,115.51,0,TRM57971.00     SCIT,ELSR,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
324,160,P024,-1880050.00604613,-3881733.64420188,4685574.97230736,47.56219699,-115.842418135,1908.0988,0,TRM59800.00     SCIT,P024,TRIMBLE,TRIMBLE NETR9,5.37,
326,161,FARW,-1998650.6953,-3814247.2138,4690267.7191,47.636382236,-117.654363522,729.686,0,TRM115000.00    NONE,FARW,TRIMBLE,TRIMBLE ALLOY,Nav 5.44 / Boot 5.44,
446,162,P446,-2405278.85193508,-3719023.82868869,4574156.91652317,46.115658175,-122.892770925,-16.09,0.0083,TRM59800.99     SCIT,P446,SEPTENTRIO,SEPT POLARX5,5.3.2,3048098
769,163,P415,-2435208.4644,-3647323.3327,4615588.301,46.655986772,-123.729848659,-15.068,0.0083,TRM59800.00     SCIT,P415,TRIMBLE,TRIMBLE NETR9,5.42,5303K57355
7,17,ENUM,-2297549.5502,-3683200.7228,4657535.6795,47.206202758,-121.955566959,227.3931,0,TRM55971.00     SCIT,ENUM,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
29,18,EPHR,-2135670.34997103,-3767928.44771578,4666934.09178435,47.329331275,-119.544662406,375.823,0,SEPCHOKE_B3E6   NONE,EPHR,SEPTENTRIO,SEPT POLARX5,5.2.0,3013485
102,19,GLWD,-2304416.01276959,-3791799.26219327,4567181.92407466,46.019824372,-121.288590561,561.399,0,TRM57971.00     SCIT,GLWD,TRIMBLE,TRIMBLE NETR9,Nav 5.20 / Boot 5.20,
21,2,BDRY,-1926797.44270138,-3725136.42266437,4790042.20496458,48.986693972,-117.349909044,602.202,0,TRM57971.00     SCIT,BDRY,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
305,20,GRCK,-1979883.79668454,-3776798.42080471,4728043.26557421,48.143580808,-117.664552492,670.155,0,TRM57971.00     SCIT,GRCK,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,
54,21,GRMD,-2383865.2349,-3667665.3111,4626251.8515,46.795481966,-123.022580259,31.066,0,TRM57971.00     SCIT,GRMD,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5617R50211
57,22,HAHD,-2283358.087,-3684392.8669,4664380.7284,47.290796589,-121.788066213,854.322,0,TRM57971.00     SCIT,HAHD,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,5639R50179
311,23,KLTS,-2097106.41799631,-3853058.57704774,4614811.05311312,46.643202603,-118.558152128,257.666,0,TRM57971.00     SCIT,KLTS,TOPCON,TPS NET-G5,,
402,25,KENI,-2154806.10490102,-3862119.33890944,4580604.91059844,46.197879258,-119.158615536,146.542,0,TRM115000.00    NONE,KENI,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,
302,26,KOOT,-1937202.67226631,-3833409.25106001,4700290.08649648,47.770744108,-116.809624656,686.193,0,TRM57971.00     SCIT,KOOT,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,
24,27,LINH,-2214365.3223,-3753478.8953,4642135.6089,47.000330892,-120.53848482,472.727,0,TRM115000.00    NONE,LINH,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,5711R50014
9,28,LSIG,-2259489.8853,-3659919.125,4694522.5526,47.695196639,-121.689547773,527.505,0,TRM57971.00     SCIT,LSIG,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5617R50228
303,29,LTAH,-1979165.89039781,-3857021.17881344,4663662.28242769,47.28242345,-117.163868247,736.036,0,TRM57971.00     SCIT,LTAH,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,
304,3,BIGD,-2075009.4949526,-3745140.12437432,4712276.36230026,47.933289472,-118.988815803,493.734,0,SEPCHOKE_B3E6   SPKE,BIGD,SEPTENTRIO,SEPT POLARX5,5.2.0,3013468
117,30,LWCK,-2472866.0161,-3658755.3201,4586697.3675,46.278129194,-124.053828659,39.293,0,TRM57971.00     SCIT,LWCK,TRIMBLE,TRIMBLE NETR9,Nav 5.44 / Boot 5.44,
76,31,MONT,-2412506.4872,-3630627.5575,4640470.4488,46.982850761,-123.603539514,8.334,0,TRM115000.00    NONE,MONT,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
16,33,NINT,-2274868.4011,-3669406.4585,4679223.2606,47.49509337,-121.79706753,127.6161,0,TRM115000.00    NONE,NINT,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,5711R50003
409,35,OKNG,-2093634.1334,-3692737.9754,4744761.0763,48.373406067,-119.551495429,271.381,0,SEPCHOKE_B3E6   SPKE,OKNG,SEPTENTRIO,SEPT POLARX5,5.2.0,3013384
53,36,OLMP,-2364698.3665,-3655938.5642,4645165.4452,47.044843027,-122.89520088,2.933,0,TRM115000.00    NONE,OLMP,TRIMBLE,TRIMBLE NETR9,Nav 5.33 / Boot 5.33,
405,37,OTHL,-2130932.0797,-3817881.238,4628517.7534,46.822548958,-119.167860783,314.187,0,TRM57971.00     NONE,OTHL,SEPTENTRIO,SEPT POLARX5,5.2.0,3013472
4,38,OYLR,-2301777.0215543,-3654487.63191064,4677609.79919096,47.474625808,-122.20475225,25.006,0,TRM57971.00     TZGD,OYLR,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
433,39,PDTN,-2148197.6112,-3914527.2566,4539659.7083,45.665942153,-118.756912046,394.902,0,TRM57971.00     SCIT,PDTN,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,
80,4,BILS,-2427910.1434,-3565528.0225,4682480.1454,47.539340614,-124.252508981,38.664,0,TRM57971.00     SCIT,BILS,TRIMBLE,TRIMBLE NETR9,Nav 4.93 / Boot 4.93,
15,40,PFLD,-2288147.9467,-3621987.8243,4709436.6631,47.89850265,-122.282165133,160.628,0,TRM57971.00     SCIT,PFLD,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
112,41,PKWD,-2305492.06702711,-3736268.9559386,4611532.60585365,46.599793489,-121.67696395,307.099,0,TRM115000.00    NONE,PKWD,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,
310,42,PLMN,-2001519.74317804,-3895692.22147132,4622083.18121055,46.733926233,-117.193087434,743.4262,0,TRM115000.00    NONE,PLMN,TOPCON,TPS NET-G5,5.2.6 May,08,2020,
239,43,PTAA,-2354267.30494868,-3557673.03619486,4725608.47270877,48.116825486,-123.494343036,67.14,0,TRM57971.00     SCIT,PTAA,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5543R50233
42,44,QMAR,-2209778.9826,-3682703.9898,4700708.8328,47.775095842,-120.965547836,812.496,0,TRM115000.00    TZGD,QMAR,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,5331K44866
351,45,RKD1,-2060481.6893,-3654825.0753,4788193.0701,48.964346772,-119.413010901,313.549,0,TRM57971.00     SCIT,RKD1,TRIMBLE,TRIMBLE NETR9,Nav 5.45 / Boot 5.45,
416,46,RMRK,-2241393.28629196,-3761122.20000504,4623073.7582802,46.749467517,-120.792294331,477.754,0,LEIAR10         NONE,RMRK,LEICA,LEICA GR10,3.22.1818,1702812
